Name,Type,Rating,Distance_km
AMA Cafe | Rajpur Road,cafe,4.8,11.24
Café De Piccolo,cafe,4.4,11.6
Farzi Café Dehradun – Rooftop Dining Where Flavour Meets the Sky,cafe,4.4,13.22
Slake Cafe - Best Italian Restaurant in Dehradun | Best Cafe in Dehradun | Best Cafe - Best Coffee Shop Old Rajpur Road Doon,cafe,4.8,11.58
Wild Wisteria Cafe & Restaurant,cafe,4.8,6.21
Friends on Table - 'The Garden Cafe',cafe,4.6,5.73
Cafex,cafe,4.9,8.29
First Gear Cafe,cafe,4.1,15.63
Yellow Marigold Experience Studio and House Cafe,cafe,4.7,5.63
Tree Cafe Restaurant | Restaurant in Dehradun,cafe,3.9,6.63
Tavaasa Cafe,cafe,4.3,9.02
Maulyar BookCafe,cafe,4.9,7.85
Yellow Hills Uttarakhandi and Multi Cuisine Restaurant,cafe,4.4,3.0
Tapri - The Teafe,cafe,4.2,6.72
Townscape Rooftop Restaurant,cafe,4.6,3.19
Y Cafe & Restaurant - Best Café in Dehradun,cafe,4.1,6.33
Eddie's Patisserie & Café,cafe,4.4,7.34
Just Cafe,cafe,4.2,6.14
Wild Flower Sky Lounge & Dine in,cafe,4.5,16.02
Chhaya Cafe,cafe,4.2,14.01
The Bend,cafe,4.4,14.6
Cafe La Belle Vie,cafe,4.7,15.71
MUSEE Art Café,cafe,4.3,12.09
Blooms café,cafe,4.5,12.35
Cafe Laata,cafe,4.7,10.15
The Lokal Cafe bar and Restaurant,cafe,4.7,7.62
The Swings Cafe - A Family Restaurant & Bar,cafe,4.5,10.8
Nothing Before Coffee Cafe - Dehradun,cafe,4.9,10.22
Old Mango Tree Cafe,cafe,4.7,9.08
RISING BREW CAFE,cafe,4.9,2.17
Coco Osteria,cafe,4.5,8.26
Cafe' Greek Orchid,cafe,4.1,6.23
Cafe Commune,cafe,4.4,12.36
Hustle & Bustle Cafe and Restaurant,cafe,4.1,2.41
Pinewood Café & Kitchen,cafe,4.5,6.33
TONIC - The Open Natural Informal Cafe,cafe,4.2,7.96
LEGENDS SPORTS CAFE,cafe,4.8,9.72
CAFÉ FLAME'S,cafe,4.7,3.02
Cafe By Mistakes,cafe,4.6,6.91
Cielo Fine Dine Restaurant Dehradun,cafe,4.9,3.83
Café Marigold,cafe,4,14.61
Al Fresco Open Air Café - REV Moto Club HQ,cafe,4.6,8.32
Udupi Cafe Bangalore Idli,cafe,4.6,6.49
PUBLIQ_DOON (देहरादून) The People's Place,cafe,4.8,7.81
Razzmatazz Cup N Cake,cafe,4,4.2
Kalsang Cafe and Restaurant,cafe,4.4,8.28
Cafe Radiohead,cafe,4.5,3.56
The Cafe,cafe,4.8,10.44
Cafe Lychee Tree,cafe,4.5,3.25
Hidden leaf cafe,cafe,4.2,17.28
Cafune,cafe,4.4,8.34
Koffie Kafe,cafe,4.8,6.42
XOXO (Café Bakery & Patisserie),cafe,4.5,11.24
LOULOU,cafe,4.4,11.71
Cafe Sparrow,cafe,3.8,11.08
Auric Restaurant & Rooftop Cafe,cafe,4.3,11.58
